Name	Position	Country	School	Height (cm)	Weight (kg)	PPG	RPG	APG	FG%	3P%	FT%	Bio	Instagram URL	Highlight Video URL
Darragh Horkan		Ireland											https://instagram.com/darragh.horkan	https://youtu.be/MsU-GkRdP_k
Jack Fitzpatrick		USA											https://instagram.com/Jack_Fitzpatrick2007	https://youtube.com/shorts/_id1bHmbv0o
Aivaras Buzas		Ireland											https://instagram.com/aivaras_buzas	https://share.icloud.com/photos/065KPYWCzFGXJuPz2mJUo5-CA
Adam Charles		Ireland											https://instagram.com/Adamcharles07_	https://share.icloud.com/photos/06dc_8j1DTBiEqP9iewri5lvA
Markas Mikalickas		Ireland											https://instagram.com/lth.markas	https://www.instagram.com/reel/DTn0IZ-jMlo/
Mykyta Hural		Ukraine											https://instagram.com/eastmanoid	
Wilfred Omorusi		Spain											https://instagram.com/Ogosah_08	https://www.instagram.com/reel/DTKmNKtAr7D/
Zahir Gutierrez		Mexico / USA											https://www.instagram.com/zahir.gutierrez4	https://www.zahirgutierrez4.com/en/videos
Joseph Badejo		Ireland											https://instagram.com/josephbadejoo	https://youtu.be/Oc0WDF4h5KA
Jakub Ofman		England											https://instagram.com/j_ofman	https://youtu.be/1jhJCmeJ12A
Viktor Dimitrov		Bulgaria											https://instagram.com/iiamdimso	https://youtu.be/otGWOjnaze4
Frank Nasasa Karlsson		Sweden											https://www.instagram.com/franknasasakarlsson	https://youtu.be/fFp-E8Kh89c
Fryderyk Klimas		Ireland											https://instagram.com/fred_klimas	https://www.youtube.com/watch?v=Djj_Hw6FRL4
Ursin Vital		Switzerland												https://getrecruitedhoops.com/players/ursin-vital/
Eduards Abele														
Jannick Pinas														
Ruzgar Aydin														
Colin Otis Bruno Schroeder		Germany											https://instagram.com/28.colin	https://youtu.be/hPyvD2QyW30
Aidan Leacy		England											https://instagram.com/aidan.leacy	https://youtu.be/QJu8XfIyjaw
Rokas Liucvaikis		Ireland											https://instagram.com/rokas_liucvaikis	https://x.com/06rokas/status/2029387514667040875
Nektarios Papadopoulos		Greece											https://instagram.com/Nektariospap	https://x.com/_npapadopoulos/status/2044877585243357679
Martin Minarovjech														
Kristijonas Strackaitis														
Maurice Barnard		Switzerland											https://instagram.com/maurice_.b11	
Til Peters		Switzerland											https://instagram.com/tp_9904	https://youtu.be/ScXqAHln0b0
Zach Trezvant		England											https://instagram.com/zachtrezvant	https://www.youtube.com/watch?v=uRrBA4GUhH8
Ayo Ibirinde		Nigeria											https://instagram.com/ayo.ibr	https://www.youtube.com/watch?v=T38tt-swqSQ
Harry Sheehan		England											https://instagram.com/harry_sheehan7	https://www.youtube.com/watch?v=NOrMK7LHzI4
Magnas Butkus		Lithuania											https://instagram.com/magnas_butkus	https://youtu.be/hj0TBc7DrSg
Nojus Vasikauskas		Ireland											https://instagram.com/nojusvasikauskas	
Juraj Minarovjech		Slovakia											https://instagram.com/_minarovjech	
